"title","authorsAll","year","num_citations","ENTRYTYPE","journal","url","url_pdf","url_citations","url_citation","num_versions","cluster_id","url_versions","excerpt"
"Managerial miscalibration","Ben-David, Itzhak and Graham, John R and Harvey, Campbell R","2013","333","article","The Quarterly Journal of Economics","http://qje.oxfordjournals.org/content/early/2013/09/29/qje.qjt023.short","None","http://scholar.google.com/scholar?cites=15334423846380870324&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:tJrPNj7RztQJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjYpvuZBHoZmZVRt5Xj7P_eOrHj6MTV&scisf=4&ct=citation&cd=0&hl=en","23","15334423846380870324","http://scholar.google.com/scholar?cluster=15334423846380870324&hl=en&as_sdt=1,5&as_ylo=2013","Abstract Using a unique 10-year panel that includes more than 13,300 expected stock market return probability distributions, we find that executives are severely miscalibrated, producing distributions that are too narrow: realized market returns are within the executives' "
"Predatory lending and the subprime crisis","Agarwal, Sumit and Amromin, Gene and Ben-David, Itzhak and Chomsisengphet, Souphala and Evanoff, Douglas D","2014","59","article","Journal of Financial Economics","http://www.sciencedirect.com/science/article/pii/S0304405X14000397","None","http://scholar.google.com/scholar?cites=16246477265516242346&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:qiWO1v4Ud-EJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjYpoRUYPivaNaJ8QxAtoHT1HinIGz1&scisf=4&ct=citation&cd=1&hl=en","19","16246477265516242346","http://scholar.google.com/scholar?cluster=16246477265516242346&hl=en&as_sdt=1,5&as_ylo=2013","Abstract We measure the effect of a 2006 antipredatory pilot program in Chicago on mortgage default rates to test whether predatory lending was a key element in fueling the subprime crisis. Under the program, risky borrowers or risky mortgage contracts or both "
"Systematic mistakes in the mortgage market and lack of financial sophistication","Agarwal, Sumit and Ben-David, Itzhak and Yao, Vincent","2017","2","article","Journal of Financial Economics","http://www.sciencedirect.com/science/article/pii/S0304405X16301258","None","http://scholar.google.com/scholar?cites=12018273561927511125&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:VWwoCCF8yaYJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjYpl81-_1S8YAeNsDxQ-SnY5LhSB-N&scisf=4&ct=citation&cd=2&hl=en","6","12018273561927511125","http://scholar.google.com/scholar?cluster=12018273561927511125&hl=en&as_sdt=1,5&as_ylo=2013","Abstract Institutions often offer a menu of contracts to consumers in an attempt to create a separating equilibrium that reveals borrower types and provides better pricing. We test the effectiveness of a specific set of contracts in the mortgage market: mortgage points. Points "
"Exchange-Traded Funds","Ben-David, Itzhak and Franzoni, Francesco and Moussawi, Rabih","2017","0","article","Annual Review of Financial Economics","http://www.annualreviews.org/doi/abs/10.1146/annurev-financial-110716-032538","None","None","http://scholar.googleusercontent.com/scholar.bib?q=info:7stx-EqBfxkJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjYpiUsuWQJxPvKa3NKJHqhS9O0SHlv&scisf=4&ct=citation&cd=3&hl=en","0","None","None","Over two decades, ETFs have become one of the most popular investment vehicles among retail and professional investors due to their low transaction costs and high liquidity, taking market share from traditional investment vehicles such as mutual funds and index futures. "
"Loan product steering in mortgage markets","Agarwal, Sumit and Amromin, Gene and Ben-David, Itzhak and Evanoff, Douglas D","2016","23","techreport","None","http://www.nber.org/papers/w22696","None","http://scholar.google.com/scholar?cites=13216629626405199966&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:XiDJ2Z7marcJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjYpgWxv8uvCY2VoZuqmWxvOtXq7tcu&scisf=4&ct=citation&cd=4&hl=en","13","13216629626405199966","http://scholar.google.com/scholar?cluster=13216629626405199966&hl=en&as_sdt=1,5&as_ylo=2013","ABSTRACT We present evidence of a particular type of loan steering in which lenders lead borrowers to take out high margin mortgage products. We identify this activity by comparing borrowers who were rejected by lenders but were subsequently approved by their affiliates "
"Second liens and the holdup problem in mortgage renegotiation","Agarwal, Sumit and Amromin, Gene and Ben-David, Itzhak and Chomsisengphet, Souphala and Zhang, Yan","2014","14","techreport","None","http://www.nber.org/papers/w20015","None","http://scholar.google.com/scholar?cites=7696491836363714044&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:_C0nI4xuz2oJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjYpl2-CKBcoKUC7wlTD1b4j0-e8OoL&scisf=4&ct=citation&cd=5&hl=en","8","7696491836363714044","http://scholar.google.com/scholar?cluster=7696491836363714044&hl=en&as_sdt=1,5&as_ylo=2013","ABSTRACT Loss mitigation actions (eg, liquidation or renegotiation) for delinquent mortgages might be hampered by the conflicting goals of claim holders with different levels of seniority. Although similar agency problems arise in corporate bankruptcies, the mortgage "
"Do ETFs increase volatility?","Ben-David, Itzhak and Franzoni, Francesco and Moussawi, Rabih","2014","73","techreport","None","http://www.nber.org/papers/w20071","None","http://scholar.google.com/scholar?cites=7643711473506548096&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:gHnvRxbrE2oJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjYphrD1OE26qdCSF24N6S4meSobpmH&scisf=4&ct=citation&cd=6&hl=en","15","7643711473506548096","http://scholar.google.com/scholar?cluster=7643711473506548096&hl=en&as_sdt=1,5&as_ylo=2013","ABSTRACT We study whether exchange traded funds (ETFs)—an asset of increasing importance—impact the volatility of their underlying stocks. Using identification strategies based on the mechanical variation in ETF ownership, we present evidence that stocks "
"Financial literacy and financial planning: Evidence from India","Agarwal, Sumit and Amromin, Gene and Ben-David, Itzhak and Chomsisengphet, Souphala and Evanoff, Douglas D","2015","15","article","Journal of Housing Economics","http://www.sciencedirect.com/science/article/pii/S1051137715000066","None","http://scholar.google.com/scholar?cites=11287238990779659888&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:cDZcTA9UpJwJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjYpi2KrU1RHhpPsgdHxEHNn8uFgU9c&scisf=4&ct=citation&cd=7&hl=en","8","11287238990779659888","http://scholar.google.com/scholar?cluster=11287238990779659888&hl=en&as_sdt=1,5&as_ylo=2013","Abstract In this study we report findings about financial literacy and financial planning behavior based on a financial advisory program in India. We evaluate survey responses to three standard questions previously used to measure financial literacy. We then break down "
"The Effectiveness of Mandatory Mortgage Counseling: Can One Dissuade Borrowers from Choosing Risky Mortgages?","Agarwal, Sumit and Amromin, Gene and Ben-David, Itzhak and Chomsisengphet, Souphala and Evanoff, Douglas","2014","12","techreport","None","http://www.nber.org/papers/w19920","None","http://scholar.google.com/scholar?cites=5842274640680442302&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:vtkH_tTtE1EJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjYplm56LtpTx7CFAo6lWkhsM-5rlRf&scisf=4&ct=citation&cd=8&hl=en","8","5842274640680442302","http://scholar.google.com/scholar?cluster=5842274640680442302&hl=en&as_sdt=1,5&as_ylo=2013","ABSTRACT We explore the effects of mandatory third-party review of mortgage contracts on consumer choice—including the terms and demand for mortgage credit. Our study is based on a legislative pilot carried out by the State of Illinois in a selected set of zip codes in 2006. "
"Trading Skill: Evidence from Trades of Corporate Insiders in Their Personal Portfolios","Ben-David, Itzhak and Birru, Justin and Rossi, Andrea","2016","1","techreport","None","http://www.nber.org/papers/w22115","None","http://scholar.google.com/scholar?cites=3044347253080819924&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:1IjRcLKxPyoJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjYpp22qZJbYFF1ZyIlG4ejQ7jlSUYu&scisf=4&ct=citation&cd=9&hl=en","11","3044347253080819924","http://scholar.google.com/scholar?cluster=3044347253080819924&hl=en&as_sdt=1,5&as_ylo=2013","ABSTRACT We study trading patterns of corporate insiders in their own personal portfolios. To do so, we identify accounts of corporate insiders in a large dataset provided by a retail discount broker. We show that insiders overweight firms from their own industry. "
