"title","authorsAll","year","num_citations","ENTRYTYPE","journal","url","url_pdf","url_citations","url_citation","num_versions","cluster_id","url_versions","excerpt"
"Public health insurance, labor supply, and employment lock","Garthwaite, Craig and Gross, Tal and Notowidigdo, Matthew J","2013","101","techreport","None","http://www.nber.org/papers/w19220","None","http://scholar.google.com/scholar?cites=12008908697253513356&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:jAjlj9U2qKYJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjZXtaUn7S1f_zg_aa8iVcn6A2rhp1h&scisf=4&ct=citation&cd=0&hl=en","22","12008908697253513356","http://scholar.google.com/scholar?cluster=12008908697253513356&hl=en&as_sdt=1,5&as_ylo=2013","ABSTRACT We study the effect of public health insurance eligibility on labor supply by exploiting the largest public health insurance disenrollment in the history of the United States. In 2005, approximately 170,000 Tennessee residents abruptly lost public health "
"The effect of health insurance on emergency department visits: Evidence from an age-based eligibility threshold","Anderson, Michael L and Dobkin, Carlos and Gross, Tal","2014","33","article","Review of Economics and Statistics","http://www.mitpressjournals.org/doi/abs/10.1162/REST_a_00378","None","http://scholar.google.com/scholar?cites=5111607285302190725&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:hWK8V74T8EYJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjZXhB-DlA2aVRYg7sBHsrhApV1LQyy&scisf=4&ct=citation&cd=1&hl=en","12","5111607285302190725","http://scholar.google.com/scholar?cluster=5111607285302190725&hl=en&as_sdt=1,5&as_ylo=2013","Health insurance affects the rate at which individuals visit hospitals and emergency departments (EDs). We identify the causal effect of losing health insurance using a regression discontinuity design. We compare individuals just before and after their twenty "
"Particulate pollution and the productivity of pear packers","Chang, Tom and Zivin, Joshua S Graff and Gross, Tal and Neidell, Matthew J","2014","59","techreport","None","http://www.nber.org/papers/w19944","None","http://scholar.google.com/scholar?cites=9590082829170411170&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:ooZGz4XRFoUJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjZXplWnXOY0ZJDwHhiC9XsG3v5Rfcc&scisf=4&ct=citation&cd=2&hl=en","20","9590082829170411170","http://scholar.google.com/scholar?cluster=9590082829170411170&hl=en&as_sdt=1,5&as_ylo=2013","ABSTRACT We study the effect of outdoor air pollution on the productivity of indoor workers at a pear-packing factory. We focus on fine particulate matter (PM2. 5), a harmful pollutant that easily penetrates indoor settings. We find that an increase in PM2. 5 outdoors leads to a "
"Liquidity constraints and consumer bankruptcy: Evidence from tax rebates","Gross, Tal and Notowidigdo, Matthew J and Wang, Jialan","2014","48","article","Review of Economics and Statistics","http://www.mitpressjournals.org/doi/abs/10.1162/REST_a_00391","None","http://scholar.google.com/scholar?cites=12428826240389787616&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:4K98aZ0PfKwJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjZXhapqQ7ICdEf0-vgonx9c_yeudNg&scisf=4&ct=citation&cd=3&hl=en","29","12428826240389787616","http://scholar.google.com/scholar?cluster=12428826240389787616&hl=en&as_sdt=1,5&as_ylo=2013","Abstract We estimate the extent to which legal and administrative fees prevent liquidity-constrained households from declaring bankruptcy. To do so, we study how the 2001 and 2008 tax rebates affected consumer bankruptcy filings. We exploit the randomized timing of "
"Dangerous liquidity and the demand for health care evidence from the 2008 stimulus payments","Gross, Tal and Tobacman, Jeremy","2014","8","article","Journal of Human Resources","http://jhr.uwpress.org/content/49/2/424.short","None","http://scholar.google.com/scholar?cites=9327035746528980727&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:9-46P5hJcIEJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjZXuttQfDvkaR2D6iXnvv-h28BQQuB&scisf=4&ct=citation&cd=4&hl=en","10","9327035746528980727","http://scholar.google.com/scholar?cluster=9327035746528980727&hl=en&as_sdt=1,5&as_ylo=2013","Abstract Household finances can affect health and health care through several channels. To explore these channels, we exploit the randomized timing of the arrival of the 2008 Economic Stimulus Payments. We find that the payments raised the probability of an adult "
"The Effect of Pollution on Worker Productivity: Evidence from Call-Center Workers in China","Chang, Tom and Zivin, Joshua Graff and Gross, Tal and Neidell, Matthew","2016","12","techreport","None","http://www.nber.org/papers/w22328","None","http://scholar.google.com/scholar?cites=17304605776333762168&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:eO6LFEVPJvAJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjZXsJIL4yP96qDJlTzL_d0tRC2jhA6&scisf=4&ct=citation&cd=5&hl=en","15","17304605776333762168","http://scholar.google.com/scholar?cluster=17304605776333762168&hl=en&as_sdt=1,5&as_ylo=2013","ABSTRACT We investigate the effect of pollution on worker productivity in the service sector by focusing on two call centers in China. Using precise measures of each worker's daily output linked to daily measures of pollution and meteorology, we find that higher levels of air "
"Insurance Expansion and Hospital Emergency Department Access: Evidence From the Affordable Care ActInsurance Expansion and Hospital Emergency Department  …","Garthwaite, Craig and Gross, Tal and Notowidigdo, Matthew and Graves, John A","2016","0","article","Annals of Internal Medicine","http://annals.org/aim/article/2593599/insurance-expansion-hospital-emergency-department-access-evidence-from-affordable-care","None","None","http://scholar.googleusercontent.com/scholar.bib?q=info:2LXunR3qH60J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjZXt0E1FOA6N1WtVguk2enz1rpJd4j&scisf=4&ct=citation&cd=6&hl=en","2","None","http://scholar.google.com/scholar?cluster=12474946905764181464&hl=en&as_sdt=1,5&as_ylo=2013","Background: Little is known about whether insurance expansion affects the location and type of emergency department (ED) use. Understanding these changes can inform state-level decisions about the Medicaid expansion under the Patient Protection and Affordable "
"The marginal propensity to consume over the business cycle","Gross, Tal and Notowidigdo, Matthew J and Wang, Jialan","2016","4","techreport","None","http://www.nber.org/papers/w22518","None","http://scholar.google.com/scholar?cites=2912035514262562259&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:0yXxIN-gaSgJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjZXvzAw78uJsHklHc6oi5GrjGPGhe2&scisf=4&ct=citation&cd=7&hl=en","7","2912035514262562259","http://scholar.google.com/scholar?cluster=2912035514262562259&hl=en&as_sdt=1,5&as_ylo=2013","ABSTRACT This paper estimates how the marginal propensity to consume (MPC) varies over the business cycle by exploiting exogenous variation in credit card borrowing limits. Ten years after an individual declares Chapter 7 bankruptcy, the record of the bankruptcy is "
"How did the Great Recession affect payday loans?","Agarwal, Sumit and Gross, Tal and Mazumder, Bhashkar and others","2016","1","article","Economic Perspectives","http://scholar.google.com/https://www.chicagofed.org/~/media/publications/economic-perspectives/2016/ep2016-2-pdf.pdf","http://scholar.google.com/https://www.chicagofed.org/~/media/publications/economic-perspectives/2016/ep2016-2-pdf.pdf","http://scholar.google.com/scholar?cites=11510428849040542939&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:20x4pw1CvZ8J:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjZXgkL7QmRHmHUsMkGMr5xlhLD5oIs&scisf=4&ct=citation&cd=8&hl=en","5","11510428849040542939","http://scholar.google.com/scholar?cluster=11510428849040542939&hl=en&as_sdt=1,5&as_ylo=2013","The sharp decline in the US economy that began in 2007, commonly referred to as the Great Recession, made it very difficult for many Americans to borrow. According to the Senior Loan Officer Survey conducted by the Board of Governors of the Federal Reserve System, banks "
"Risk of bankruptcy among applicants to disability insurance","Gross, Tal and Trenkamp, Brad","2015","1","article","Journal of health care for the poor and underserved","http://scholar.google.com/https://muse.jhu.edu/article/597752/summary","None","http://scholar.google.com/scholar?cites=8076036273470386004&as_sdt=2005&sciodt=1,5&hl=en","http://scholar.googleusercontent.com/scholar.bib?q=info:VC9fuTPYE3AJ:scholar.google.com/&output=citation&scisig=AAGBfm0AAAAAWQjZXuKzkfNPEKibgERs5PakzzE6mtc3&scisf=4&ct=citation&cd=9&hl=en","4","8076036273470386004","http://scholar.google.com/scholar?cluster=8076036273470386004&hl=en&as_sdt=1,5&as_ylo=2013","Background. Poor health can lead to financial instability and, eventually, bankruptcy. We examined how entrance into the Social Security Disability Insurance (SSDI) program was associated with bankruptcy filings among those who had a disability and applied to the SSDI "
